lr,reg,warmup_epochs,batch_size,best_val_acc
5e-05,0.001,0,512,0.1012
5e-05,0.001,0,1024,0.4675
5e-05,0.001,0,2048,0.1112
5e-05,0.001,100,512,0.757
5e-05,0.001,100,1024,0.6555
5e-05,0.001,100,2048,0.4237
1e-05,0.001,0,512,0.9004
1e-05,0.001,0,1024,0.8559
1e-05,0.001,0,2048,0.7676
1e-05,0.001,100,512,0.9004
1e-05,0.001,100,1024,0.8559
1e-05,0.001,100,2048,0.7676
5e-06,0.001,0,512,0.8936
5e-06,0.001,0,1024,0.8647
5e-06,0.001,0,2048,0.7874
5e-06,0.001,100,512,0.8936
5e-06,0.001,100,1024,0.8647
5e-06,0.001,100,2048,0.7874
